node,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,deg_9,deg_10,deg_11,deg_12,deg_13,deg_14,deg_15,deg_16,deg_17,deg_18,deg_19,deg_20
10016,69,67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,711,147,141,80,79,69,69,67,66,61,57,38,35,30,29,26,22,11,3,3
10018,711,141,137,121,120,90,88,83,81,78,77,69,67,67,66,66,48,31,18,17
10019,711,286,147,108,88,80,78,67,66,54,35,29,27,17,16,10,0,0,0,0
1002,54,32,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020,146,67,58,41,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,1244,146,67,63,58,41,21,14,13,13,12,6,6,0,0,0,0,0,0,0
10022,80,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10023,80,74,18,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10024,377,295,123,73,44,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10025,55,38,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026,280,85,73,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027,55,38,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,1068,711,591,310,280,168,165,147,136,105,100,98,79,72,41,36,6,4,0,0
10029,304,174,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,54,32,31,29,11,10,10,9,7,6,0,0,0,0,0,0,0,0,0,0
10030,80,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10031,212,163,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032,212,163,38,25,16,13,10,8,8,7,5,4,4,3,3,3,3,3,2,0
10033,212,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10034,212,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10037,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10038,212,163,27,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10039,212,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,54,32,31,29,11,10,10,9,7,6,0,0,0,0,0,0,0,0,0,0
10040,212,163,38,19,16,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
10041,212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10042,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10043,212,27,13,11,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0
10044,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10045,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10046,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10047,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10048,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,343,178,54,52,32,31,29,10,10,0,0,0,0,0,0,0,0,0,0,0
10050,212,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10051,212,163,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052,212,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10053,397,212,14,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
10054,212,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10055,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10056,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10057,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10058,212,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10059,212,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,54,11,10,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10060,212,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10061,212,27,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10062,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10063,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10064,212,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,212,38,25,22,16,12,5,3,2,0,0,0,0,0,0,0,0,0,0,0
10066,212,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067,212,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10068,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10069,212,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,54,11,10,10,7,6,5,3,3,3,0,0,0,0,0,0,0,0,0,0
10070,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10071,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10072,365,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10073,212,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10074,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10075,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10076,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10077,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10078,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10079,212,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,54,11,10,10,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10080,212,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10081,212,27,11,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10082,212,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10083,212,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10084,212,163,38,27,25,22,18,16,15,14,13,10,10,9,7,5,3,3,1,0
10085,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10086,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10087,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10088,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10089,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,73,54,40,22,10,10,10,7,6,6,3,0,0,0,0,0,0,0,0,0
10090,212,119,63,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10091,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10092,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10093,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10094,212,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10095,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10096,212,163,16,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10097,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10098,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10099,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,481,339,309,297,295,286,285,280,271,264,212,212,203,201,190,170,163,151,138,126
1010,178,147,73,54,52,40,40,40,32,31,30,29,15,11,4,0,0,0,0,0
10100,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10101,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10103,212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10104,212,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10105,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10106,212,27,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10107,212,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10108,212,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10109,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,481,343,178,157,73,54,52,46,43,41,40,38,38,37,34,34,32,31,24,16
10110,271,221,135,48,45,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10111,243,221,135,70,63,48,45,7,6,4,4,4,4,0,0,0,0,0,0,0
10112,221,4,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10113,221,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10114,221,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10115,221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10116,221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10117,221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10118,221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10119,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,54,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10120,221,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10121,314,221,125,25,7,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0
10122,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10123,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10124,221,8,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10125,221,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10126,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10128,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10129,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,157,54,52,46,43,41,40,38,32,31,30,24,12,11,11,4,0,0,0,0
10130,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10131,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10132,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10133,271,221,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10134,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10135,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10136,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10137,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10138,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10139,221,105,74,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,73,54,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10140,221,105,74,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10141,221,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10142,221,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10143,221,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10144,221,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10145,221,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10146,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10147,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10148,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10149,275,221,136,135,123,105,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,54,32,31,30,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10150,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10151,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10152,221,43,33,22,20,15,10,8,0,0,0,0,0,0,0,0,0,0,0,0
10153,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10155,1244,221,72,47,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10156,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10157,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10158,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10159,271,258,221,43,22,20,10,8,0,0,0,0,0,0,0,0,0,0,0,0
1016,1245,481,343,178,157,73,54,46,43,41,40,40,38,38,37,34,34,33,32,32
10160,221,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10161,221,105,63,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10162,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10163,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10164,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10165,314,221,169,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10166,221,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10167,221,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10168,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10169,221,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,1245,361,296,283,261,178,147,130,100,89,74,70,69,65,55,54,52,44,40,38
10170,221,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10171,221,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10172,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10173,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10174,1244,908,666,521,339,314,282,263,243,180,151,133,130,122,103,102,99,98,98,96
10175,314,263,258,151,151,130,122,110,102,99,93,85,72,69,68,60,58,53,50,47
10176,169,124,85,72,69,38,24,11,0,0,0,0,0,0,0,0,0,0,0,0
10177,314,310,263,169,168,160,72,69,65,64,59,43,43,24,19,0,0,0,0,0
10178,258,102,99,72,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10179,258,102,99,72,43,6,6,5,5,5,0,0,0,0,0,0,0,0,0,0
1018,1245,791,496,481,459,361,339,216,178,166,156,147,116,113,84,54,52,36,32,31
10180,258,102,99,72,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10181,1367,705,463,377,343,339,338,226,178,123,91,86,80,65,60,36,33,15,15,13
10182,339,178,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10183,339,223,221,173,136,115,77,65,60,29,17,0,0,0,0,0,0,0,0,0
10184,1261,343,339,229,223,173,118,115,96,81,77,65,53,46,38,31,20,4,0,0
10185,711,597,539,505,449,423,389,339,332,235,206,87,39,16,0,0,0,0,0,0
10186,609,505,363,339,263,258,190,181,144,142,138,134,123,119,110,105,97,94,93,91
10187,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10188,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,339,280,190,123,119,67,60,50,43,42,31,30,27,0,0,0,0,0,0,0
1019,1245,343,178,100,73,54,52,40,40,38,32,32,31,29,29,24,22,0,0,0
10190,339,229,221,219,80,60,46,31,24,18,10,10,4,0,0,0,0,0,0,0
10191,339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10192,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10193,339,295,280,170,123,119,61,53,50,43,42,33,13,12,0,0,0,0,0,0
10194,1261,339,330,286,119,80,72,58,0,0,0,0,0,0,0,0,0,0,0,0
10195,343,339,186,98,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10196,666,339,286,280,246,61,40,34,27,26,25,21,16,16,10,9,5,0,0,0
10197,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10198,339,286,246,221,219,168,80,67,0,0,0,0,0,0,0,0,0,0,0,0
10199,339,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1245,1244,1099,1068,815,591,497,481,459,455,446,422,397,386,344,339,309,293,285,261
1020,73,52,43,41,40,35,32,31,29,27,23,22,11,9,5,0,0,0,0,0
10200,339,295,280,247,229,219,60,60,46,45,29,20,10,9,6,0,0,0,0,0
10201,711,591,455,339,172,166,155,149,147,141,121,106,105,77,63,62,50,43,26,0
10202,339,295,286,246,219,80,14,12,11,0,0,0,0,0,0,0,0,0,0,0
10203,339,286,246,220,219,121,87,80,52,16,9,0,0,0,0,0,0,0,0,0
10204,609,343,339,280,278,215,173,121,105,73,63,29,17,9,4,0,0,0,0,0
10205,505,389,339,332,235,206,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10206,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10207,339,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10208,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10209,339,295,286,18,12,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10210,711,339,308,263,258,246,169,168,162,147,144,124,106,106,106,80,75,68,67,61
10211,339,280,91,60,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10212,711,339,280,229,225,190,172,136,123,119,92,88,72,71,68,67,53,50,50,47
10213,339,295,280,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10214,711,339,225,207,136,123,121,119,108,88,81,75,71,67,45,33,26,16,12,4
10215,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10216,339,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10217,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10218,339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10219,339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,32,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10220,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10221,339,295,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10222,339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10223,339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10224,339,280,36,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10225,339,280,36,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10226,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10227,339,247,60,31,18,15,13,9,6,4,0,0,0,0,0,0,0,0,0,0
10228,339,247,60,15,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10229,597,339,247,60,39,15,11,10,6,0,0,0,0,0,0,0,0,0,0,0
1023,309,209,159,126,94,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0
10230,666,339,307,286,246,137,67,64,50,10,6,6,0,0,0,0,0,0,0,0
10231,339,286,246,67,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10232,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10233,339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10234,339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10235,34,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10236,34,16,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10237,34,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10238,75,34,16,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10239,34,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,309,126,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10240,159,35,34,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10241,23,18,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10242,32,15,8,6,6,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
10243,9,8,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10244,9,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10245,424,295,9,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10246,9,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10247,9,8,8,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10248,32,15,8,6,6,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0
10249,32,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,908,364,280,198,180,104,78,64,11,9,7,4,4,3,3,3,2,2,2,2
10250,32,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10251,170,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10252,170,24,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10253,286,246,190,170,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10254,711,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10255,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10256,363,170,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10257,423,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10258,363,170,54,48,46,29,23,11,9,5,4,0,0,0,0,0,0,0,0,0
10259,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,1367,1261,1244,1143,1099,1068,908,711,705,686,666,591,542,537,479,463,424,417,397,377
10260,505,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10261,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10262,338,170,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10263,170,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10264,171,170,101,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10265,171,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10266,397,365,306,170,112,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10267,1367,1244,479,377,327,300,218,170,170,158,123,88,86,84,23,19,0,0,0,0
10268,540,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10269,449,170,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,1367,1244,1099,1026,908,711,686,591,542,463,446,417,396,377,366,364,300,298,284,253
10270,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10271,247,170,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10272,170,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10273,170,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10274,170,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10275,214,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10276,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10277,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10278,246,190,170,24,18,11,9,8,8,7,7,7,7,7,6,6,6,3,3,3
10279,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,1367,1143,1099,1068,1026,908,834,705,686,666,609,597,591,542,505,497,496,479,463,446
10280,591,170,149,45,25,12,10,8,8,7,6,6,5,5,5,4,4,3,3,2
10281,521,449,263,207,171,170,124,123,116,105,88,86,84,59,54,54,53,49,48,44
10282,171,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10283,463,170,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10284,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
